step,organ,n_2d,n_1d,mom_n,upd_l1,v_max,v_min,loss,lo,hi
1,rah,20,29,9.0e-04,1.5e+05,3.8e-03,1.0e-03,5.74,5.74,5.74
2,rah,20,29,1.7e-03,1.5e+05,3.8e-03,5.0e-04,5.75,5.74,5.75
3,rah,20,29,2.4e-03,1.5e+05,3.3e-03,3.3e-04,5.73,5.73,5.75
4,rah,20,29,2.9e-03,1.5e+05,3.4e-03,2.5e-04,5.76,5.73,5.76
5,rah,20,29,3.4e-03,1.5e+05,3.6e-03,2.0e-04,5.73,5.73,5.76
6,rah,20,29,3.9e-03,1.5e+05,3.5e-03,1.7e-04,5.73,5.73,5.76
7,rah,20,29,4.3e-03,1.5e+05,3.5e-03,1.4e-04,5.72,5.72,5.76
8,rah,20,29,4.7e-03,1.5e+05,3.7e-03,1.3e-04,5.72,5.72,5.76
9,rah,20,29,5.0e-03,1.5e+05,3.8e-03,1.1e-04,5.73,5.72,5.76
10,rah,20,29,5.3e-03,1.5e+05,3.8e-03,1.0e-04,5.73,5.72,5.76
20,rah,20,29,7.3e-03,1.5e+05,3.5e-03,5.0e-05,5.71,5.71,5.76
30,rah,20,29,7.8e-03,1.5e+05,3.6e-03,3.4e-05,5.68,5.68,5.76
40,rah,20,29,8.1e-03,1.5e+05,3.5e-03,2.5e-05,5.64,5.64,5.76
50,rah,20,29,8.2e-03,1.5e+05,3.6e-03,2.0e-05,5.62,5.57,5.76
60,rah,20,29,8.1e-03,1.5e+05,3.6e-03,1.7e-05,5.54,5.54,5.76
70,rah,20,29,8.1e-03,1.5e+05,3.5e-03,1.5e-05,5.48,5.48,5.76
80,rah,20,29,7.9e-03,1.5e+05,3.5e-03,1.3e-05,5.39,5.39,5.76
