sweep: 528 runs total → bench/results.csv [device=cuda]
[1/528] p1 × adam × lr=0.0001 × seed=0
[2/528] p1 × adam × lr=0.0001 × seed=1
[3/528] p1 × adam × lr=0.0001 × seed=2
[4/528] p1 × adam × lr=0.0003 × seed=0
[5/528] p1 × adam × lr=0.0003 × seed=1
[6/528] p1 × adam × lr=0.0003 × seed=2
[7/528] p1 × adam × lr=0.001 × seed=0
[8/528] p1 × adam × lr=0.001 × seed=1
[9/528] p1 × adam × lr=0.001 × seed=2
[10/528] p1 × adam × lr=0.003 × seed=0
[11/528] p1 × adam × lr=0.003 × seed=1
[12/528] p1 × adam × lr=0.003 × seed=2
[13/528] p1 × adamw × lr=0.0001 × seed=0
[14/528] p1 × adamw × lr=0.0001 × seed=1
[15/528] p1 × adamw × lr=0.0001 × seed=2
[16/528] p1 × adamw × lr=0.0003 × seed=0
[17/528] p1 × adamw × lr=0.0003 × seed=1
[18/528] p1 × adamw × lr=0.0003 × seed=2
[19/528] p1 × adamw × lr=0.001 × seed=0
[20/528] p1 × adamw × lr=0.001 × seed=1
[21/528] p1 × adamw × lr=0.001 × seed=2
[22/528] p1 × adamw × lr=0.003 × seed=0
[23/528] p1 × adamw × lr=0.003 × seed=1
[24/528] p1 × adamw × lr=0.003 × seed=2
[25/528] p1 × yogi × lr=0.0001 × seed=0
[26/528] p1 × yogi × lr=0.0001 × seed=1
[27/528] p1 × yogi × lr=0.0001 × seed=2
[28/528] p1 × yogi × lr=0.0003 × seed=0
[29/528] p1 × yogi × lr=0.0003 × seed=1
[30/528] p1 × yogi × lr=0.0003 × seed=2
[31/528] p1 × yogi × lr=0.001 × seed=0
[32/528] p1 × yogi × lr=0.001 × seed=1
[33/528] p1 × yogi × lr=0.001 × seed=2
[34/528] p1 × yogi × lr=0.003 × seed=0
[35/528] p1 × yogi × lr=0.003 × seed=1
[36/528] p1 × yogi × lr=0.003 × seed=2
[37/528] p1 × lion × lr=1e-05 × seed=0
[38/528] p1 × lion × lr=1e-05 × seed=1
[39/528] p1 × lion × lr=1e-05 × seed=2
[40/528] p1 × lion × lr=3e-05 × seed=0
[41/528] p1 × lion × lr=3e-05 × seed=1
[42/528] p1 × lion × lr=3e-05 × seed=2
[43/528] p1 × lion × lr=0.0001 × seed=0
[44/528] p1 × lion × lr=0.0001 × seed=1
[45/528] p1 × lion × lr=0.0001 × seed=2
[46/528] p1 × lion × lr=0.0003 × seed=0
[47/528] p1 × lion × lr=0.0003 × seed=1
[48/528] p1 × lion × lr=0.0003 × seed=2
[49/528] p1 × liger × lr=1e-05 × seed=0
[50/528] p1 × liger × lr=1e-05 × seed=1
[51/528] p1 × liger × lr=1e-05 × seed=2
[52/528] p1 × liger × lr=3e-05 × seed=0
[53/528] p1 × liger × lr=3e-05 × seed=1
[54/528] p1 × liger × lr=3e-05 × seed=2
[55/528] p1 × liger × lr=0.0001 × seed=0
[56/528] p1 × liger × lr=0.0001 × seed=1
[57/528] p1 × liger × lr=0.0001 × seed=2
[58/528] p1 × liger × lr=0.0003 × seed=0
[59/528] p1 × liger × lr=0.0003 × seed=1
[60/528] p1 × liger × lr=0.0003 × seed=2
[61/528] p1 × muogi × lr=3e-05 × seed=0
[62/528] p1 × muogi × lr=3e-05 × seed=1
[63/528] p1 × muogi × lr=3e-05 × seed=2
[64/528] p1 × muogi × lr=0.0001 × seed=0
[65/528] p1 × muogi × lr=0.0001 × seed=1
[66/528] p1 × muogi × lr=0.0001 × seed=2
[67/528] p1 × muogi × lr=0.0003 × seed=0
